v_id,cv_cid,video_source_id
7MDIYLNLIX0Z0ZN18TQS,9W16HUAN3F0LB16BN1QC,FMIVZHS8ZMOMQUEUYCAL
JASG113K7JNNJT6SHIF7,9W16HUAN3F0LB16BN1QC,CZK4CFA1N891P73V6AV9
B9AOSA044773B3WXWUIJ,9W16HUAN3F0LB16BN1QC,A1QSPVY5X1DPWSQIALWS
X7U871L8LH4HUAYT9EYZ,9W16HUAN3F0LB16BN1QC,G68H7PKY8DTPGC7CTMXG
UMHGCRP8JACQQTXDKYEA,DBK4CIYJZTBCYBNGY2FC,WHHPLI32HDLMXTO3LOMK
3XYCCR2TFRC3PT2KAMZE,DBK4CIYJZTBCYBNGY2FC,1BYH7WP5TSU8OUIUH82R
HXK3TNDGOP7WBO134VGG,DBK4CIYJZTBCYBNGY2FC,SZ2012QSU8LPG3GYQHHY
ICSFTHF5JPSFH786IGAA,DBK4CIYJZTBCYBNGY2FC,REL71R5XFBK0CSWBQKAT
241RG8HUBVWAET0KDQAN,DBK4CIYJZTBCYBNGY2FC,G1LPVGGJ2H1OP00JC521
3AXNT63AL3LNPLQIXX98,DBK4CIYJZTBCYBNGY2FC,CWCH28FRL8IBBY7NS80Q
KXMN9EVCKCDOPQ8GLC11,DBK4CIYJZTBCYBNGY2FC,CWKQ1MHI8JG8SEJGK04Q
ND74DJ5K0V1UDKG4PWLR,DBK4CIYJZTBCYBNGY2FC,NIB8EJS5UUFSB8WVSGXJ
JDVX4B5ZT7ID8TCKOXE3,DBK4CIYJZTBCYBNGY2FC,D9JGESDONSUGMZFSERKS
A4EYWF1OENC717Z7JCEY,DBK4CIYJZTBCYBNGY2FC,GK44WIZDOSHJSFFKT38L
02D7P7ZOMI1IJ9KMB00H,DBK4CIYJZTBCYBNGY2FC,7Y3VTULLOX0N6KV33R3E
1XKJNWAEIC5A2A57OGOC,292JLHBNNB1FCHZ31P25,O6B1VRGJVNXC251A7LEW
8UXV7H9AZ3UEHBV76XP6,292JLHBNNB1FCHZ31P25,2CJ0ZM0V07WOFTS8POJF
GH7ZJBJAVPVSPOGQ7E66,292JLHBNNB1FCHZ31P25,C8FTU58NAFLQV6ZQOJLM
ZWL1IWBSO6BZXCMLUNXI,292JLHBNNB1FCHZ31P25,H1T0YRDPB01KVKHFZKBE
3FA6YTPQPAIIVNQD5BJR,292JLHBNNB1FCHZ31P25,IU6HALYFSZICOLXYFY5M
DI1R4ASH0VXX43LJ7R71,292JLHBNNB1FCHZ31P25,OUQLZK7J5Y897E5EEBWB
384O9STTZVSC5UGS1FRE,292JLHBNNB1FCHZ31P25,RMMXVUB5HL4B6MUPAAGJ
SRF1R0S2MF93V248RHRE,292JLHBNNB1FCHZ31P25,H90WWRP8OK75T3ARL4QS
9GDXOHWE0A0TAHQDXCHL,292JLHBNNB1FCHZ31P25,LHCFFUNIIKYJKCB1E28E
Z1KW0WQIWAU8EE84C6OJ,292JLHBNNB1FCHZ31P25,6JZ62GHKEY94JM4P83LB
B9H5B1VM1T4WQ0ULRLYL,292JLHBNNB1FCHZ31P25,25B7LPYKUDXZIR7N1JLV
J0G8PESXAIXALSFPHKCJ,0XZI7HDLAWRDD50A3S5Q,IMR5BUTB08A8FSY5AAC8
GZ0MDAA80K1X5YYPK6T0,0XZI7HDLAWRDD50A3S5Q,L7GKVNOCE5HPUQYWJE9D
2T12IASIISNG8B3F8LBB,0XZI7HDLAWRDD50A3S5Q,H26PSA20BYGQLIOY7114
ANW7R0T3T0A9APKJV1XX,0XZI7HDLAWRDD50A3S5Q,THY3KPF3GESAW9541JUS
GMFTNS9M9NSYLNRNSTA0,0XZI7HDLAWRDD50A3S5Q,FUDZ902HU33PJAK0945S
I3KGFKJVEZRL52WPKSE9,0XZI7HDLAWRDD50A3S5Q,8ZB56TQZ5EG6MWJRR9IM
